appendixj_designated_mdistricts_v201712,appendixj_designated_mdistricts
bike_routes_v20180913,bike_routes
bk_qn_mh_boundary_v201804,bk_qn_mh_boundary
boro_boundaries_V201811,boro_boundaries
business_improvement_districts_v0,business_improvement_districts
cd_floodplains_v201902,cd_floodplains
twg_i75aydysqbrqk9zgvg,citibike_stations
citymap_amendments_v3,citymap_amendments
citymap_arterials_v0,citymap_arterials
citymap_bulkheadlines_v1,citymap_bulkheadlines
citymap_citymap_v1,citymap_citymap
citymap_pierheadlines_v1,citymap_pierheadlines
citymap_rails_v0,citymap_rails
citymap_streetcenterlines_v1,citymap_streetcenterlines
citymap_streetnamechanges_areas_v0,citymap_streetnamechanges_areas
citymap_streetnamechanges_points_v0,citymap_streetnamechanges_points
citymap_streetnamechanges_streets_v0,citymap_streetnamechanges_streets
coastal_zone_boundary_v201601,coastal_zone_boundary
commercial_overlays_v201906,commercial_overlays
community_district_profiles_v201903,community_district_profiles
community_districts_v201811,community_districts
dtm_block_centroids_v20190712,dtm_block_centroids
e_designations_v201906,e_designations
facdb_v201811,facdb
floodplain_firm2007_v0,floodplain_firm2007
floodplain_pfirm2015_v0,floodplain_pfirm2015
fresh_zones_v201907,fresh_zones
historic_districts_lpc_v20180501,historic_districts_lpc
humanboatlaunch_v201810,humanboatlaunch
inclusionary_housing_v201804,inclusionary_housing
individual_landmarks_lpc_v20180501,individual_landmarks_lpc
industrial_business_zones_v20180501,industrial_business_zones
limited_height_districts_v201906,limited_height_districts
lower_density_growth_management_areas_v201709,lower_density_growth_management_areas
mandatory_inclusionary_housing_v201906,mandatory_inclusionary_housing
mappluto_18v2_1,mappluto
merged_pfirm_firm_100yr_v201901,merged_pfirm_firm_100yr
merged_pfirm_firm_500yr_v201901,merged_pfirm_firm_500yr
mta_subway_entrances_v0,mta_subway_entrances
mta_subway_routes_v0,mta_subway_routes
mta_subway_stops_v0,mta_subway_stops
nta_boundaries_v201811,nta_boundaries
ny_assembly_districts_v201811,ny_assembly_districts
ny_senate_districts_v201811,ny_senate_districts
nyc_census_blocks_2010,nyc_census_blocks
nyc_census_tracts_2010,nyc_census_tracts
nyc_council_districts_v201811,nyc_council_districts
nyc_ferry_landings_v20181023,nyc_ferry_landings
nyc_ferry_routes_v20181023,nyc_ferry_routes
nyc_pumas_v201811,nyc_pumas
publiclyownedwaterfront_v201905,publiclyownedwaterfront
scenic_landmarks_lpc_v20180501,scenic_landmarks_lpc
sidewalk_cafes_v201906,sidewalk_cafes
special_purpose_districts_v201906,special_purpose_districts
special_purpose_subdistricts_v201906,special_purpose_subdistricts
transitzones_v201902,transitzones
upland_waterfront_areas_v200912,upland_waterfront_areas
waterfront_access_plan_v201902,waterfront_access_plan
wpaas_v201905,wpaas
wpaas_accesspoints_v201905,wpaas_accesspoints
wpaas_footprints_v201905,wpaas_footprints
zoning_districts_v201906,zoning_districts
zoning_map_amendments_v201906,zoning_map_amendments
region_censustract_v0,region_censustract
region_censustract_industrial_dotdensity_v0,region_censustract_industrial_dotdensity
region_censustract_institution_dotdensity_v0,region_censustract_institution_dotdensity
region_censustract_localserv_dotdensity_v0,region_censustract_localserv_dotdensity
region_censustract_meta_v1,region_censustract_meta
region_censustract_office_dotdensity_v0,region_censustract_office_dotdensity
region_censustract_v1_table,region_censustract_table
region_commode_mnworkres_dotdensity_v0,region_commode_mnworkres_dotdensity
region_commode_nonmnworkres_dotdensity_v0,region_commode_nonmnworkres_dotdensity
region_commode_nycreswork_dotdensity_v0,region_commode_nycreswork_dotdensity
region_comtot_nycreswork_dotdensity_v0,region_comtot_nycreswork_dotdensity
region_comtot_nycworkerres_dotdensity_v0,region_comtot_nycworkerres_dotdensity
region_county_v2,region_county
region_county_meta_v2,region_county_meta
region_county_v2_table,region_county_table
region_employment_dotdensity_v0,region_employment_dotdensity
region_lfpw0016_dotdensity_v1,region_lfpw0016_dotdensity
region_municipality_v1,region_municipality
region_municipality_lf0016_dotdensity_v0,region_municipality_lf0016_dotdensity
region_municipality_meta_v0,region_municipality_meta
region_municipality_v1_table,region_municipality_table
region_popa1016_dotdensity_v1,region_popa1016_dotdensity
region_rail_lines_v0,region_rail_lines
region_rail_stops_v0,region_rail_stops
region_region_v2,region_region
region_region_meta_v2,region_region_meta
region_region_v2_table,region_region_table
region_subregion_v2,region_subregion
region_subregion_meta_v2,region_subregion_meta
region_subregion_v2_table,region_subregion_table
region_tenure_dotdensity_v0,region_tenure_dotdensity
region_units_by_structure_dotdensity_v0,region_units_by_structure_dotdensity
region_unittype_dotdensity_v2,region_unittype_dotdensity
